Au,SA000001-044,0.4421,,mg/L,0.3,0.0416,0.0011,0.0418,0.0415,0.0416
Au,SA000001-045,0.3972,,mg/L,0.4,0.0373,0.0012,0.0374,0.0374,0.0372
Au,SA000001-046,0.0606,,mg/L,6.9,0.0056,0.001,0.0051,0.0059,0.0057
Au,SA000001-047,0.003,,mg/L,63.7,0.0003,0.0009,0.0001,0.0004,0.0004
Au,SA000001-048,0.0553,,mg/L,5.2,0.0051,0.001,0.005,0.0054,0.0048
Au,SA000001-049,0.0607,,mg/L,6.9,0.0056,0.001,0.0051,0.0059,0.0057
Au,SA000001-050,0.0708,,mg/L,4.8,0.0065,0.0011,0.0062,0.0066,0.0068
Au,SA000001-051,0.0576,,mg/L,0.9,0.0053,0.0011,0.0053,0.0053,0.0052
Au,PATRON,0.4931,,mg/L,0.7,0.0106,0.0007,0.0106,0.0105,0.0107
Au,BLANCO,0.0047,,mg/L,>100,0.0001,0.0008,0.0003,0.0002,-0.0002
Au,BLANCO REACTIVO,0,,mg/L,23.8,-0.0004,0.0009,-0.0005,-0.0005,-0.0003
Au,SA000001-052,0.1009,,mg/L,6.1,0.0093,0.0012,0.0087,0.0094,0.0098
Au,SA000001-053,0.0854,,mg/L,4.5,0.0079,0.0013,0.0081,0.008,0.0075
Au,SA000001-054,0.2022,,mg/L,1.9,0.0188,0.0012,0.0191,0.0184,0.0188
Au,SA000001-055,0.1665,,mg/L,2.9,0.0154,0.0013,0.0159,0.0152,0.0151
Au,SA000001-056,0.0026,,mg/L,>100,0.0002,0.0011,0.0003,-0.0003,0.0007
Au,SA000001-057,0.1058,,mg/L,1.1,0.0098,0.0013,0.0096,0.0098,0.0098
Au,SA000001-058,0.7618,,mg/L,1.2,0.0727,0.0014,0.0722,0.0723,0.0737
Au,SA000001-059,0.628,,mg/L,0.5,0.0597,0.0014,0.0599,0.0593,0.0598
Au,SA000001-060,0.2013,,mg/L,2.4,0.0187,0.0012,0.0183,0.0192,0.0185
Au,SA000001-061,0.1733,,mg/L,4.4,0.0161,0.0013,0.0156,0.0157,0.0169
Au,PATRON,0.4808,,mg/L,3.5,0.0104,0.0011,0.0106,0.0105,0.0099
Au,BLANCO,0.0018,,mg/L,>100,0,0.001,0.0003,-0.0005,0.0003
Au,BLANCO REACTIVO,0,,mg/L,15.3,-0.0003,0.0007,-0.0003,-0.0004,-0.0003
Au,SA000001-062,0.1406,,mg/L,2.8,0.013,0.0011,0.0134,0.0128,0.0128
Au,SA000001-063,0.1344,,mg/L,4.6,0.0124,0.0012,0.0118,0.0126,0.0129
