Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.156
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.011
Cabeza puntual retorno,Au 242.80,0.153
Celda # 11-A,Au 242.80,0.022
Celda # 11-B,Au 242.80,0.12
Celda # 11-C,Au 242.80,0.1
Celda # 6-F2,Au 242.80,0.134
Celda #5-9,Au 242.80,0.014
Celda #(F1+F2),Au 242.80,0.145
NE Tubo 1,Au 242.80,0.141
NE Tubo 2,Au 242.80,0.084
NE Tubo 4,Au 242.80,0.137
NE Tubo 5,Au 242.80,0.05
NE Tubo 6,Au 242.80,0.028
NE Tubo 7,Au 242.80,0.138
Puntual Noroeste,Au 242.80,0.147
Barren Patios,Au 242.80,0.002
Tubo 3,Au 242.80,0.21
Especial 1,Au 242.80,0.041
Especial 2,Au 242.80,0.014
Especial 3,Au 242.80,0.019
Especial 4,Au 242.80,0.023
Especial 5,Au 242.80,0.015
Especial 6,Au 242.80,0.005
