Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.096
Comp. Cola Columna,Cu 324.75,1.217
Barren,Cu 324.75,1.234
Cabeza puntual retorno,Cu 324.75,1.067
Celda # 11-A,Cu 324.75,0.206
Celda # 11-B,Cu 324.75,0.138
Celda # 11-C,Cu 324.75,0.864
Celda # 6-F2,Cu 324.75,0.133
Celda #5-9,Cu 324.75,0.155
Celda #(F1+F2),Cu 324.75,1.063
NE Tubo 1,Cu 324.75,0.127
NE Tubo 2,Cu 324.75,0.193
NE Tubo 4,Cu 324.75,1.409
NE Tubo 5,Cu 324.75,0.962
NE Tubo 6,Cu 324.75,0.186
NE Tubo 7,Cu 324.75,3.539
Puntual Noroeste,Cu 324.75,1.141
Barren Patios,Cu 324.75,1.121
Tubo 3,Cu 324.75,0.317
Especial 1,Cu 324.75,0.182
Especial 2,Cu 324.75,0.153
Especial 3,Cu 324.75,0.224
Especial 4,Cu 324.75,0.265
Especial 5,Cu 324.75,0.172
