Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.088
Comp. Cola Columna,Au 242.80,0.005
Barren,Au 242.80,0.011
Cabeza puntual retorno,Au 242.80,0.91
Celda # 11-A,Au 242.80,0.018
Celda # 11-B,Au 242.80,0.002
Celda # 11-C,Au 242.80,0.003
Celda #5-9,Au 242.80,0.056
Celda #(F1+F2),Au 242.80,0.093
NE Tubo 1,Au 242.80,0.018
NE Tubo 2,Au 242.80,0.129
NE Tubo 4,Au 242.80,0.053
NE Tubo 5,Au 242.80,0.041
NE Tubo 6,Au 242.80,0.015
NE Tubo 7,Au 242.80,0.033
Puntual Noroeste,Au 242.80,0.089
Barren Patios,Au 242.80,0.011
Tubo 3,Au 242.80,0.135
Especial 1,Au 242.80,0.055
Especial 2,Au 242.80,0.031
Especial 3,Au 242.80,0.004
Especial 4,Au 242.80,0.013
Especial 5,Au 242.80,0.041
Especial 6,Au 242.80,0.007
Columna #1,Au 242.80,0.069
Columna #2,Au 242.80,0.045
Columna #3,Au 242.80,0.022
Columna #4,Au 242.80,0.009
Columna #5,Au 242.80,0.002
