Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.298
Comp. Cola Columna,Cu 324.75,0.224
Barren,Cu 324.75,0.226
Cabeza puntual retorno,Cu 324.75,0.276
Celda # 11-A,Cu 324.75,0.072
Celda # 11-B,Cu 324.75,0.042
Celda # 11-C,Cu 324.75,0.158
Celda # 6-F2,Cu 324.75,0.492
Celda #5-9,Cu 324.75,0.841
Celda #(F1+F2),Cu 324.75,0.233
NE Tubo 1,Cu 324.75,0.015
NE Tubo 2,Cu 324.75,0.132
NE Tubo 4,Cu 324.75,0.071
NE Tubo 5,Cu 324.75,0.062
NE Tubo 6,Cu 324.75,0.074
NE Tubo 7,Cu 324.75,0.114
Puntual Noroeste,Cu 324.75,0.195
Barren Patios,Cu 324.75,0.227
Tubo 3,Cu 324.75,0.57
Especial 1,Cu 324.75,0.057
Especial 2,Cu 324.75,0.03
Especial 3,Cu 324.75,0.053
Especial 4,Cu 324.75,0.084
Especial 5,Cu 324.75,0.056
Especial 6,Cu 324.75,0.013
