Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Au 242.80,0.097
Columna #2,Au 242.80,0.051
Columna #3,Au 242.80,0.016
Columna #4,Au 242.80,0.005
Columna #5,Au 242.80,0.003
Comp. Cabeza Columna,Au 242.80,0.148
Cabeza puntual retorno,Au 242.80,0.15
Celda # 11-A,Au 242.80,0.051
Celda # 11-B,Au 242.80,0.121
Celda # 11-C,Au 242.80,0.084
Celda #5-9,Au 242.80,0.064
Celda #(F1+F2),Au 242.80,0.155
Especial 1,Au 242.80,0.081
Especial 2,Au 242.80,0.086
Especial 3,Au 242.80,0.006
Especial 4,Au 242.80,0.009
Especial 5,Au 242.80,0.059
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.01
NE Tubo 2,Au 242.80,0.152
NE Tubo 4,Au 242.80,0.076
NE Tubo 5,Au 242.80,0.085
NE Tubo 6,Au 242.80,0.088
NE Tubo 7,Au 242.80,0.286
Puntual Noroeste,Au 242.80,0.163
Tubo 3,Au 242.80,0.158
NE Tubo 1,Au 242.80,0.001
Barren Patios,Au 242.80,0.005
