Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.165
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.011
Cabeza puntual retorno,Au 242.80,0.157
Celda # 11-A,Au 242.80,0.094
Celda # 11-B,Au 242.80,0.041
Celda # 11-C,Au 242.80,0.008
Celda #5-9,Au 242.80,0.036
Celda #(F1+F2),Au 242.80,0.169
NE Tubo 1,Au 242.80,0.006
NE Tubo 2,Au 242.80,0.159
NE Tubo 4,Au 242.80,0.249
NE Tubo 5,Au 242.80,0.276
NE Tubo 6,Au 242.80,0.227
NE Tubo 7,Au 242.80,0.093
Puntual Noroeste,Au 242.80,0.174
Barren Patios,Au 242.80,0.017
Tubo 3,Au 242.80,0.097
Especial 1,Au 242.80,0.042
Especial 2,Au 242.80,0.064
Especial 3,Au 242.80,0.034
Especial 4,Au 242.80,0.035
Especial 5,Au 242.80,0.051
Especial 6,Au 242.80,0.013
Columna #1,Au 242.80,0.106
Columna #2,Au 242.80,0.08
Columna #3,Au 242.80,0.044
Columna #4,Au 242.80,0.026
Columna #5,Au 242.80,0.012
