1,PATRON,,1,1,1,1,1
2,BLANCO,,1,1,1,1,1
3,BLANCO REACTIVO,,1,1,1,1,1
4,SA000021-003,0.143,2,1,50,1,1
5,SA000021-006,1.170,2,1,50,1,1
6,SA000021-007,2.074,2,1,50,1,1
7,SA000021-009,1.939,2,1,50,1,1
8,SA000023-005,0.463,2,1,50,1,1
9,SA000023-006,0.004,2,1,50,1,1
10,SA000023-007,0.412,2,1,50,1,1
11,SA000023-008,0.427,2,1,50,1,1
12,SA000023-009,0.228,2,1,50,1,1
13,SA000023-010,0.427,2,1,50,1,1
14,PATRON,,1,1,1,1,1
15,BLANCO,,1,1,1,1,1
16,BLANCO REACTIVO,,1,1,1,1,1
17,SA000023-012,0.319,2,1,50,1,1
18,SA000023-023,0.291,2,1,50,1,1
19,SA000023-024,0.445,2,1,50,1,1
20,SA000023-025,0.267,2,1,50,1,1
21,SA000023-026,0.290,2,1,50,1,1
22,SA000023-027,0.581,2,1,50,1,1
23,SA000023-028,0.367,2,1,50,1,1
24,SA000023-029,0.307,2,1,50,1,1
25,SA000024-001,0.131,2,1,50,1,1
26,SA000024-002,0.000,2,1,50,1,1
27,PATRON,,1,1,1,1,1
28,BLANCO,,1,1,1,1,1
29,BLANCO REACTIVO,,1,1,1,1,1
30,SA000024-003,0.000,2,1,50,1,1
31,SA000024-004,0.186,2,1,50,1,1
32,SA000024-005,0.181,2,1,50,1,1
33,SA000024-006,0.286,2,1,50,1,1
34,SA000024-007,0.151,2,1,50,1,1
35,SA000024-008,0.488,2,1,50,1,1
36,SA000025-002,0.253,2,1,50,1,1
37,SA000025-003,0.089,2,1,50,1,1
38,SA000025-004,0.369,2,1,50,1,1
39,SA000025-005,0.800,2,1,50,1,1
40,PATRON,,1,1,1,1,1
41,BLANCO,,1,1,1,1,1
42,BLANCO REACTIVO,,1,1,1,1,1
43,SA000025-016,0.156,2,1,50,1,1
44,SA000025-017,0.536,2,1,50,1,1
45,SA000025-018,0.469,2,1,50,1,1
46,SA000025-019,0.501,2,1,50,1,1
47,SA000025-020,1.120,2,1,50,1,1
48,SA000025-021,0.000,2,1,50,1,1
49,SA000025-022,0.840,2,1,50,1,1
50,SA000026-010,0.129,2,1,50,1,1
51,SA000026-011,0.092,2,1,50,1,1
52,SA000026-012,0.187,2,1,50,1,1
53,PATRON,,1,1,1,1,1
54,BLANCO,,1,1,1,1,1
55,BLANCO REACTIVO,,1,1,1,1,1
56,SA000026-013,0.186,2,1,50,1,1
57,SA000026-014,0.988,2,1,50,1,1
58,SA000026-015,0.756,2,1,50,1,1
59,SA000026-016,1.086,2,1,50,1,1
60,SA000026-031,0.116,2,1,50,1,1
61,SA000026-032,0.341,2,1,50,1,1
62,SA000026-033,0.143,2,1,50,1,1
63,SA000026-034,0.142,2,1,50,1,1
64,SA000026-035,0.201,2,1,50,1,1
65,SA000026-036,0.208,2,1,50,1,1
66,PATRON,,1,1,1,1,1
67,BLANCO,,1,1,1,1,1
68,BLANCO REACTIVO,,1,1,1,1,1
69,SA000026-037,0.215,2,1,50,1,1
70,SA000026-039,0.198,2,1,50,1,1
71,SA000026-040,0.080,2,1,50,1,1
72,SA000027-026,0.523,2,1,50,1,1
73,SA000027-027,0.050,2,1,50,1,1
74,SA000027-028,0.226,2,1,50,1,1
75,SA000027-029,2.730,2,1,50,1,1
76,SA000027-030,0.012,2,1,50,1,1
77,SA000027-031,0.010,2,1,50,1,1
78,SA000027-032,0.002,2,1,50,1,1
79,PATRON,,1,1,1,1,1
80,BLANCO,,1,1,1,1,1
81,BLANCO REACTIVO,,1,1,1,1,1
82,SA000027-033,0.127,2,1,50,1,1
83,SA000027-035,0.320,2,1,50,1,1
84,SA000027-049,0.039,2,1,50,1,1
85,SA000027-050,0.048,2,1,50,1,1
86,SA000027-051,0.200,2,1,50,1,1
87,SA000027-052,0.209,2,1,50,1,1
88,SA000027-054,0.100,2,1,50,1,1
89,SA000027-055,0.119,2,1,50,1,1
90,SA000029-043,0.970,2,1,50,1,1
91,SA000029-044,0.609,2,1,50,1,1
92,PATRON,,1,1,1,1,1
93,BLANCO,,1,1,1,1,1
94,BLANCO REACTIVO,,1,1,1,1,1
95,SA000029-045,1.092,2,1,50,1,1
96,SA000029-046,1.176,2,1,50,1,1
97,SA000029-047,1.069,2,1,50,1,1
98,SA000029-048,1.325,2,1,50,1,1
99,SA000029-049,1.469,2,1,50,1,1
100,PATRON,,1,1,1,1,1
101,BLANCO,,1,1,1,1,1
102,BLANCO REACTIVO,,1,1,1,1,1
