Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.245
Comp. Cola Columna,Cu 324.75,0.246
Barren,Cu 324.75,0.258
Cabeza puntual retorno,Cu 324.75,0.234
Columna #1,Cu 324.75,0.217
Columna #2,Cu 324.75,0.214
Columna #3,Cu 324.75,0.220
Columna #4,Cu 324.75,0.209
Columna #5,Cu 324.75,0.202
Celda # 11-A,Cu 324.75,0.164
Celda # 11-B,Cu 324.75,0.193
Celda # 11-C,Cu 324.75,0.090
Celda #5-9,Cu 324.75,0.933
Celda #(F1+F2),Cu 324.75,0.174
NE Tubo 1,Cu 324.75,0.014
NE Tubo 2,Cu 324.75,0.070
NE Tubo 4,Cu 324.75,0.179
NE Tubo 5,Cu 324.75,0.054
NE Tubo 6,Cu 324.75,0.013
NE Tubo 7,Cu 324.75,0.846
Puntual Noroeste,Cu 324.75,0.174
Barren patios,Cu 324.75,0.249
Tubo 3,Cu 324.75,0.111
Especial 1,Cu 324.75,0.728
Especial 2,Cu 324.75,0.085
Especial 3,Cu 324.75,0.074
Especial 4,Cu 324.75,0.075
Especial 5,Cu 324.75,0.099
Especial 6,Cu 324.75,0.029
