Sample ID,Analyte Name,Reported Conc (Samp)
SA-200,Fe,0.634
SA-201,Fe,0.126
SA-202,Fe,0.106
SA-203,Fe,0.045
SA-200,Cd,0.111
SA-201,Cd,0.099
SA-202,Cd,0.104
SA-203,Cd,0.095
SA-200,Pb,0.048
SA-201,Pb,0.024
SA-202,Pb,0.009
SA-203,Pb,0.01
SA-200,Cu,31.72
SA-201,Cu,30.85
SA-202,Cu,31.47
SA-203,Cu,35.62
