Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.116
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.007
Cabeza puntual retorno,Au 242.80,0.112
Celda # 11-A,Au 242.80,0.071
Celda # 11-B,Au 242.80,0.049
Celda # 11-C,Au 242.80,0.006
Celda # 6-F2,Au 242.80,0.02
Celda #5-9,Au 242.80,0.018
Celda #(F1+F2),Au 242.80,0.123
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.13
NE Tubo 4,Au 242.80,0.087
NE Tubo 5,Au 242.80,0.072
NE Tubo 6,Au 242.80,0.142
NE Tubo 7,Au 242.80,0.055
Puntual Noroeste,Au 242.80,0.13
Barren Patios,Au 242.80,0.012
Tubo 3,Au 242.80,0.175
Especial 1,Au 242.80,0.023
Especial 2,Au 242.80,0.044
Especial 3,Au 242.80,0.085
Especial 4,Au 242.80,0.063
Especial 5,Au 242.80,0.059
