Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.417
Comp. Cola Columna,Cu 324.75,2.132
Barren,Cu 324.75,2.03
Cabeza puntual retorno,Cu 324.75,2.364
Columna #1,Cu 324.75,2.216
Columna #2,Cu 324.75,2.194
Columna #3,Cu 324.75,2.233
Columna #4,Cu 324.75,2.22
Columna #5,Cu 324.75,2.186
Celda # 11-A,Cu 324.75,0.657
Celda # 11-B,Cu 324.75,0.1
Celda # 11-C,Cu 324.75,0.107
Celda #5-9,Cu 324.75,8.772
Celda #(F1+F2),Cu 324.75,0.695
NE Tubo 1,Cu 324.75,0.035
NE Tubo 2,Cu 324.75,0.089
NE Tubo 4,Cu 324.75,0.245
NE Tubo 5,Cu 324.75,0.064
NE Tubo 6,Cu 324.75,0.155
NE Tubo 7,Cu 324.75,0.291
Puntual Noroeste,Cu 324.75,0.517
Barren Patios,Cu 324.75,1.792
Tubo 3,Cu 324.75,0.769
Especial 1,Cu 324.75,3.212
Especial 2,Cu 324.75,1.385
Especial 3,Cu 324.75,0.809
Especial 4,Cu 324.75,1.187
Especial 5,Cu 324.75,7.119
Especial 6,Cu 324.75,0.08
