Analyst,Elias Ortega,,,,
Date Started,20/06/2023 12:31 AM  GMT: 20/6/2023 12:31 AM,,,,
Worksheet,LC000527_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
20/06/2023,12:31 a. m.,PATRON,0.902,,mg/L
09/06/2023,12:31 a. m.,BLANCO,-0.011,,mg/L
09/06/2023,12:31 a. m.,REAGENT BLANK,-0.013,,mg/L
09/06/2023,12:31 a. m.,LC000527-001,0.140647914,,mg/L
09/06/2023,12:31 a. m.,LC000527-002,0.102309461,,mg/L
09/06/2023,12:31 a. m.,LC000527-003,0.0156651,,mg/L
09/06/2023,12:31 a. m.,LC000527-004,0.007999467,,mg/L
09/06/2023,12:31 a. m.,LC000527-005,0.010662757,,mg/L
09/06/2023,12:31 a. m.,LC000527-006,0.003665689,,mg/L
09/06/2023,12:31 a. m.,,0.903,,mg/L
09/06/2023,12:31 a. m.,LC000527-007,0.454893858,,mg/L
09/06/2023,12:31 a. m.,LC000527-008,0.0093324,,mg/L
09/06/2023,12:31 a. m.,LC000527-009,0.003333333,,mg/L
09/06/2023,12:31 a. m.,LC000527-010,0.013660747,,mg/L
09/06/2023,12:31 a. m.,LC000527-011,0.003332667,,mg/L
09/06/2023,12:31 a. m.,LC000527-012,0.0019994,,mg/L
09/06/2023,12:31 a. m.,,0.911,,mg/L
09/06/2023,12:31 a. m.,LC000527-013,0.006332067,,mg/L
09/06/2023,12:31 a. m.,LC000527-014,0.005665345,,mg/L
09/06/2023,12:31 a. m.,LC000527-015,0.021995601,,mg/L
09/06/2023,12:31 a. m.,LC000527-016,0.010329546,,mg/L
09/06/2023,12:31 a. m.,LC000527-017,0.012997834,,mg/L
09/06/2023,12:31 a. m.,LC000527-018,0.096661334,,mg/L
09/06/2023,12:31 a. m.,,0.905,,mg/L
09/06/2023,12:31 a. m.,LC000527-019,0.125333333,,mg/L
09/06/2023,12:31 a. m.,LC000527-020,0.059658712,,mg/L
09/06/2023,12:31 a. m.,LC000527-021,0.875824835,,mg/L
09/06/2023,12:31 a. m.,LC000527-022,0.0419986,,mg/L
09/06/2023,12:31 a. m.,LC000527-023,0.046985904,,mg/L
09/06/2023,12:31 a. m.,LC000527-024,0.065660101,,mg/L
09/06/2023,12:31 a. m.,,0.889,,mg/L
