Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.066
Cabeza puntual retorno,Au 242.80,0.065
Celda #(F1+F2),Au 242.80,0.066
Comp. Cola Columna,Au 242.80,0.006
Barren,Au 242.80,0.008
Celda # 11-A,Au 242.80,0.004
Celda # 11-B,Au 242.80,0.006
Celda # 11-C,Au 242.80,0.004
Celda #5-9,Au 242.80,0.012
Especial 1,Au 242.80,0.063
Especial 2,Au 242.80,0.035
Especial 3,Au 242.80,0.033
Especial 4,Au 242.80,0.038
Especial 5,Au 242.80,0.035
Columna #1,Au 242.80,0.055
Columna #2,Au 242.80,0.036
Columna #3,Au 242.80,0.026
Columna #4,Au 242.80,0.025
Columna #5,Au 242.80,0.013
NE Tubo 1,Au 242.80,0.014
NE Tubo 2,Au 242.80,0.026
NE Tubo 4,Au 242.80,0.054
NE Tubo 5,Au 242.80,0.049
NE Tubo 6,Au 242.80,0.024
NE Tubo 7,Au 242.80,0.057
Puntual Noroeste,Au 242.80,0.081
Barren Patios,Au 242.80,0.012
Tubo 3,Au 242.80,0.127
