Analista,FLAVIO,,,,,,,
Fecha de inicio,7/10/2022 9:43 AM  GMT: 7/10/2022 2:43 PM,,,,,,,
Hoja de trabajo,SA000053,,,,,,,
Comentario,,,,,,,,
Métodos,Ag,,,,,,,
,,,,,,,,
Método: Ag VHAA-Ag (Llama),,,,,,,,
,,,,,,,,
,PATRON,1.0109,,mg/L,0.111,0.1117,0.1111,0.1103
,BLANCO,0.0001,,mg/L,0,0.0005,-0.0011,0.0006
,BLANCO REACTIVO,0,,mg/L,0.0002,-0.0002,0.0004,0.0004
,SA000053-001,1.6089,,mg/L,0.0072,0.0074,0.0072,0.007
,SA000053-002,26.3748,,mg/L,0.1162,0.1169,0.1152,0.1166
,SA000053-003,1.6065,,mg/L,0.0072,0.0064,0.0075,0.0076
,SA000053-004,1.7021,,mg/L,0.0076,0.0073,0.008,0.0076
,SA000053-005,2.0181,,mg/L,0.009,0.0092,0.0084,0.0096
,SA000053-006,0.929,,mg/L,0.0041,0.0037,0.0045,0.0043
,SA000053-007,1.207,,mg/L,0.0054,0.0062,0.005,0.005
,SA000053-008,1.2799,,mg/L,0.0057,0.0055,0.0063,0.0053
,SA000053-009,1.0308,,mg/L,0.0046,0.0052,0.0043,0.0043
,SA000053-010,0.8673,,mg/L,0.0039,0.0042,0.0039,0.0035
,PATRON,1.0108,,mg/L,0.111,0.1109,0.1119,0.1102
,BLANCO,-0.0059,,mg/L,-0.0007,-0.0004,-0.0004,-0.0011
,BLANCO REACTIVO,0,,mg/L,0.0002,-0.0002,0,0.0006
,SA000053-011,0.9433,,mg/L,0.0042,0.0039,0.004,0.0047
,SA000053-012,1.2813,,mg/L,0.0057,0.0058,0.006,0.0054
,SA000053-013,1.8997,,mg/L,0.0085,0.0078,0.0101,0.0074
,SA000053-014,2.1017,,mg/L,0.0094,0.0102,0.0088,0.0091
,SA000053-015,1.8301,,mg/L,0.0082,0.0085,0.008,0.008
,SA000053-016,1.0131,,mg/L,0.0045,0.0042,0.0044,0.005
,SA000053-017,0.1753,,mg/L,0.0008,0.0009,0.0007,0.0008
,SA000053-018,0.0425,,mg/L,0.0002,-0.0002,0.0013,-0.0005
,SA000053-019,1.0064,,mg/L,0.0045,0.005,0.0048,0.0036
,SA000053-020,-0.1482,,mg/L,-0.0007,-0.0008,-0.0003,-0.0008
,PATRON,1.0162,,mg/L,0.1116,0.1111,0.1112,0.1126
,BLANCO,-0.0074,,mg/L,-0.0008,-0.0008,-0.0011,-0.0006
,BLANCO REACTIVO,0,,mg/L,-0.0002,-0.0002,-0.0001,-0.0003
,SA000053-021,1.5051,,mg/L,0.0067,0.0065,0.0066,0.007
,SA000053-022,1.6367,,mg/L,0.0073,0.0077,0.0072,0.007
,SA000053-023,3.6062,,mg/L,0.0161,0.0166,0.0157,0.0159
,SA000053-024,1.1261,,mg/L,0.005,0.0051,0.0049,0.005
,SA000053-025,2.9699,,mg/L,0.0133,0.0127,0.0139,0.0132
,SA000053-026,2.0781,,mg/L,0.0093,0.0093,0.0092,0.0094
,SA000053-027,0.1206,,mg/L,0.0005,0.0009,0.0009,-0.0001
,SA000053-028,1.7477,,mg/L,0.0078,0.0084,0.0078,0.0072
,PATRON,1.0106,,mg/L,0.111,0.1111,0.111,0.1109
,BLANCO,0.0056,,mg/L,0.0006,0.0003,0,0.0017
,BLANCO REACTIVO,0,,mg/L,0.0004,0.0004,0.0009,-0.0001
