Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,2.340
Comp. Cola Columna,Cu 324.75,2.389
Barren,Cu 324.75,2.678
Cabeza puntual retorno,Cu 324.75,2.401
Celda #5-9,Cu 324.75,0.058
Celda # 11-A,Cu 324.75,4.568
Celda # 11-B,Cu 324.75,27.24
Celda # 11-C,Cu 324.75,19.31
Celda #(F1+F2),Cu 324.75,0.853
NE Tubo 1,Cu 324.75,10.66
NE Tubo 2,Cu 324.75,0.536
NE Tubo 4,Cu 324.75,0.714
NE Tubo 5,Cu 324.75,0.184
NE Tubo 6,Cu 324.75,0.299
NE Tubo 7,Cu 324.75,0.932
Puntual Noroeste,Cu 324.75,0.732
Barren Patios,Cu 324.75,2.565
Tubo 3,Cu 324.75,0.815
Especial 1,Cu 324.75,0.072
Especial 2,Cu 324.75,0.049
Especial 3,Cu 324.75,0.082
Especial 4,Cu 324.75,0.082
Especial 5,Cu 324.75,0.081
Columna #1,Cu 324.75,2.169
Columna #2,Cu 324.75,2.148
Columna #3,Cu 324.75,2.122
Columna #4,Cu 324.75,2.066
Columna #5,Cu 324.75,2.019
