Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,2.676
Barren,Cu 324.75,2.332
Cabeza puntual retorno,Cu 324.75,2.536
Celda # 11-A,Cu 324.75,0.748
Celda # 11-B,Cu 324.75,0.022
Celda # 11-C,Cu 324.75,3.766
Celda # 6-F2,Cu 324.75,0.049
Celda #5-9,Cu 324.75,1.279
Celda #(F1+F2),Cu 324.75,2.900
NE Tubo 1,Cu 324.75,0.021
NE Tubo 2,Cu 324.75,0.068
NE Tubo 4,Cu 324.75,1.661
NE Tubo 5,Cu 324.75,12.86
NE Tubo 6,Cu 324.75,5.154
NE Tubo 7,Cu 324.75,6.891
Puntual Noroeste,Cu 324.75,3.107
Barren Patios,Cu 324.75,2.327
Tubo 3,Cu 324.75,2.232
Especial 1,Cu 324.75,0.108
Especial 2,Cu 324.75,0.005
Especial 3,Cu 324.75,0.857
Especial 4,Cu 324.75,2.413
Especial 5,Cu 324.75,0.072
