Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.517
Cabeza puntual retorno,Cu 324.75,0.545
Celda #(F1+F2),Cu 324.75,0.547
Puntual Noroeste,Cu 324.75,0.538
Tubo 3,Cu 324.75,0.376
Comp. Cola Columna,Cu 324.75,0.679
Barren,Cu 324.75,0.613
Celda # 11-A,Cu 324.75,0.062
Celda # 11-B,Cu 324.75,0.235
Celda # 11-C,Cu 324.75,0.051
Celda #5-9,Cu 324.75,-0.003
Celda #5-9,Cu 324.75,0.020
NE Tubo 1,Cu 324.75,0.028
NE Tubo 2,Cu 324.75,0.058
NE Tubo 4,Cu 324.75,0.600
NE Tubo 5,Cu 324.75,0.492
NE Tubo 6,Cu 324.75,0.191
NE Tubo 7,Cu 324.75,1.446
Barren Patios,Cu 324.75,0.636
Especial 1,Cu 324.75,0.048
Especial 2,Cu 324.75,0.051
Especial 3,Cu 324.75,0.063
Especial 4,Cu 324.75,0.065
Especial 5,Cu 324.75,0.052
Columna #1,Cu 324.75,0.562
Columna #2,Cu 324.75,0.571
Columna #3,Cu 324.75,0.580
Columna #4,Cu 324.75,0.602
