Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.109
Comp. Cola Columna,Cu 324.75,1.002
Barren,Cu 324.75,1.007
Cabeza puntual retorno,Cu 324.75,1.045
Celda # 11-A,Cu 324.75,1.464
Celda # 11-B,Cu 324.75,0.115
Celda # 11-C,Cu 324.75,0.069
Celda # 6-F2,Cu 324.75,0.548
Celda #5-9,Cu 324.75,5.017
Celda #(F1+F2),Cu 324.75,0.219
NE Tubo 1,Cu 324.75,0.033
NE Tubo 2,Cu 324.75,0.373
NE Tubo 4,Cu 324.75,0.146
NE Tubo 5,Cu 324.75,0.035
NE Tubo 6,Cu 324.75,0.017
NE Tubo 7,Cu 324.75,1.14
Puntual Noroeste,Cu 324.75,0.21
Barren Patios,Cu 324.75,0.85
Tubo 3,Cu 324.75,0.088
Especial 1,Cu 324.75,2.879
Especial 2,Cu 324.75,0.35
Especial 3,Cu 324.75,1.853
Especial 4,Cu 324.75,3.403
Especial 5,Cu 324.75,0.827
Especial 6,Cu 324.75,0.04
