Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,6.159
Comp. Cola Columna,Cu 324.75,6.785
Barren,Cu 324.75,6.035
Cabeza puntual retorno,Cu 324.75,6.147
Celda # 11-A,Cu 324.75,1.955
Celda # 11-B,Cu 324.75,1.218
Celda # 11-C,Cu 324.75,1.284
Celda # 6-F2,Cu 324.75,0.022
Celda #5-9,Cu 324.75,1.045
Celda #(F1+F2),Cu 324.75,6.805
NE Tubo 1,Cu 324.75,0.037
NE Tubo 2,Cu 324.75,0.061
NE Tubo 4,Cu 324.75,0.848
NE Tubo 5,Cu 324.75,8.47
NE Tubo 6,Cu 324.75,1.607
NE Tubo 7,Cu 324.75,20.18
Puntual Noroeste,Cu 324.75,6.931
Barren Patios,Cu 324.75,6.215
Tubo 3,Cu 324.75,5.84
Especial 1,Cu 324.75,0.088
Especial 2,Cu 324.75,0.037
Especial 3,Cu 324.75,0.205
Especial 4,Cu 324.75,1.135
Especial 5,Cu 324.75,0.091
