Analista,,,,,,,,,,
Fecha de inicio,18/01/2023 05:54 p. m.  GMT: 18/01/2023 11:54 p. m.,,,,,,,,,
Hoja de trabajo,SA000068_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
,Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,,
,PATRON,0.4997,,mg/L,1.7,0.0145,-0.0006,0.0142,0.0147,0.0146
,BLANCO,0.0089,,mg/L,65.9,0.0003,-0.0004,0.0001,0.0003,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0001,-0.0003,0.0002,0.0005
,SA000068-001,0.0452,,mg/L,11.1,0.0055,-0.0005,0.0057,0.0048,0.006
,SA000068-002,0.0714,,mg/L,6,0.0088,0,0.0085,0.0084,0.0094
,SA000068-003,0.8067,,mg/L,3.6,0.0988,-0.0003,0.1029,0.0965,0.0971
,SA000068-004,0.0091,,mg/L,55,0.0011,-0.0007,0.0009,0.0006,0.0018
,SA000068-005,0.2178,,mg/L,2.8,0.0268,-0.0005,0.0266,0.0277,0.0262
,PATRON,0.5152,,mg/L,3.3,0.015,-0.0006,0.0144,0.015,0.0154
,SA000068-006,0.1071,,mg/L,1.7,0.0133,0,0.0136,0.0132,0.0132
,SA000068-007,0.1179,,mg/L,2,0.0145,0.0003,0.0148,0.0142,0.0144
,SA000068-008,0.1288,,mg/L,3.3,0.0157,0.0001,0.016,0.016,0.0151
,SA000068-009,0.1655,,mg/L,0.5,0.0202,0.0003,0.0201,0.0201,0.0203
,SA000068-010,0.1335,,mg/L,2.8,0.0166,0.0002,0.0162,0.0171,0.0165
,PATRON,0.4924,,mg/L,1.1,0.0143,-0.0001,0.0143,0.0141,0.0145
,BLANCO,-0.0031,,mg/L,>100,-0.0001,-0.0001,0.0001,0,-0.0004
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.0001,0.0002,0,-0.0006
,SA000068-011,0.0059,,mg/L,38.1,0.0007,0.0004,0.0004,0.001,0.0008
,SA000068-012,0.1486,,mg/L,4.3,0.0185,0.0008,0.0179,0.0194,0.0182
,SA000068-013,0.0408,,mg/L,3.5,0.005,0.0007,0.005,0.0048,0.0052
,SA000068-014,0.0306,,mg/L,9.1,0.0038,0.001,0.0039,0.0034,0.0041
,SA000068-015,0.1977,,mg/L,2.2,0.0233,0.0004,0.0235,0.0236,0.0227
,PATRON,0.4978,,mg/L,6.8,0.0144,0,0.0139,0.0156,0.0138
,SA000068-016,0.1225,,mg/L,2.8,0.0153,0.0012,0.0148,0.0154,0.0156
,SA000068-017,0.0634,,mg/L,2,0.0078,0.0003,0.0077,0.008,0.0079
,SA000068-018,0.185,,mg/L,2.2,0.023,0.0006,0.0236,0.0228,0.0226
,SA000068-020,0.1507,,mg/L,1.5,0.0187,0.0005,0.0188,0.019,0.0184
,SA000068-021,0.1754,,mg/L,0.5,0.0705,0.001,0.0704,0.0702,0.0709
,PATRON,0.4979,,mg/L,1.1,0.0144,-0.0002,0.0146,0.0145,0.0143
,BLANCO,0.0053,,mg/L,>100,0.0002,0.0001,0.0004,0.0003,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0004,0.0005,0.0003,-0.0005,-0.0009
,SA000068-022,0.1348,,mg/L,1.9,0.0167,0.0003,0.017,0.0166,0.0164
,PATRON,0.4964,,mg/L,1.4,0.0144,0.0003,0.0146,0.0144,0.0142
,BLANCO,-0.0073,,mg/L,>100,-0.0002,0.0011,0,-0.0007,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0,0.0001,0.0003,0,-0.0005
