Analyst,,,,,
Date Started,4/29/2023 12:17 AM  GMT: 4/29/2023 7:17 AM,,,,
Worksheet,LC000499_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
4/29/2023,01:11:24 a. m.,PATRON,0.905,,mg/L
4/29/2023,01:11:38 a. m.,BLANCO,-0.005,,mg/L
4/29/2023,01:11:52 a. m.,REAGENT BLANK,-0.004,,mg/L
4/29/2023,01:12:06 a. m.,LC000499-001,1.158,,mg/L
4/29/2023,01:12:18 a. m.,LC000499-002,1.222,,mg/L
4/29/2023,01:12:30 a. m.,LC000499-003,0.725,,mg/L
4/29/2023,01:12:46 a. m.,LC000499-004,1.152,,mg/L
4/29/2023,01:12:56 a. m.,LC000499-005,0.693,,mg/L
4/29/2023,01:11:24 a. m.,LC000499-006,0.169,,mg/L
4/29/2023,01:11:38 a. m.,PATRON,0.897,,mg/L
4/29/2023,01:11:52 a. m.,LC000499-007,-0.001,,mg/L
4/29/2023,01:12:06 a. m.,LC000499-008,0.172,,mg/L
4/29/2023,01:12:18 a. m.,LC000499-009,0.096,,mg/L
4/29/2023,01:12:30 a. m.,LC000499-010,0.198,,mg/L
4/29/2023,01:12:46 a. m.,LC000499-011,0.087,,mg/L
4/29/2023,01:12:56 a. m.,LC000499-012,0.227,,mg/L
4/29/2023,01:11:24 a. m.,PATRON,0.921,,mg/L
4/29/2023,01:11:38 a. m.,LC000499-013,0.085,,mg/L
4/29/2023,01:11:52 a. m.,LC000499-014,0.021,,mg/L
4/29/2023,01:12:06 a. m.,LC000499-015,0.012,,mg/L
4/29/2023,01:12:18 a. m.,LC000499-016,0.062,,mg/L
4/29/2023,01:12:30 a. m.,LC000499-017,0.047,,mg/L
4/29/2023,01:12:46 a. m.,LC000499-018,0.189,,mg/L
4/29/2023,01:12:56 a. m.,PATRON,0.907,,mg/L
4/29/2023,01:11:24 a. m.,LC000499-019,0,,mg/L
4/29/2023,01:11:38 a. m.,LC000499-020,0.062,,mg/L
4/29/2023,01:11:52 a. m.,LC000499-021,0.12,,mg/L
4/29/2023,01:12:06 a. m.,PATRON,0.896,,mg/L
,,,,,
Method: Au ALTA (Flame),,,,,
