Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.239
Comp. Cola Columna,Cu 324.75,0.191
Barren,Cu 324.75,0.227
Cabeza puntual retorno,Cu 324.75,0.186
Columna #1,Cu 324.75,0.178
Columna #2,Cu 324.75,0.174
Columna #3,Cu 324.75,0.159
Columna #4,Cu 324.75,0.169
Columna #5,Cu 324.75,0.177
Celda # 11-A,Cu 324.75,0.144
Celda # 11-B,Cu 324.75,0.268
Celda # 11-C,Cu 324.75,0.062
Celda #5-9,Cu 324.75,0.673
Celda #(F1+F2),Cu 324.75,0.123
NE Tubo 1,Cu 324.75,0.004
NE Tubo 2,Cu 324.75,0.028
NE Tubo 4,Cu 324.75,0.173
NE Tubo 5,Cu 324.75,0.024
NE Tubo 6,Cu 324.75,0.026
NE Tubo 7,Cu 324.75,0.744
Puntual Noroeste,Cu 324.75,0.126
Tubo 3,Cu 324.75,0.109
Especial 1,Cu 324.75,0.162
Especial 2,Cu 324.75,0.075
Especial 3,Cu 324.75,0.044
Especial 5,Cu 324.75,0.08
Especial 6,Cu 324.75,0.025
Especial 4,Cu 324.75,0.055
Barren Patios,Cu 324.75,0.156
