Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.107
Comp. Cola Columna,Cu 324.75,1.873
Barren,Cu 324.75,1.696
Cabeza puntual retorno,Cu 324.75,2.065
Columna #1,Cu 324.75,1.941
Columna #2,Cu 324.75,1.86
Columna #3,Cu 324.75,1.811
Columna #4,Cu 324.75,1.768
Columna #5,Cu 324.75,1.707
Celda # 11-A,Cu 324.75,0.439
Celda # 11-B,Cu 324.75,0.088
Celda # 11-C,Cu 324.75,0.058
Celda #5-9,Cu 324.75,8.594
Celda #(F1+F2),Cu 324.75,0.423
NE Tubo 1,Cu 324.75,0.005
NE Tubo 2,Cu 324.75,0.031
NE Tubo 4,Cu 324.75,0.254
NE Tubo 5,Cu 324.75,0.019
NE Tubo 6,Cu 324.75,0.152
NE Tubo 7,Cu 324.75,0.193
Puntual Noroeste,Cu 324.75,0.523
Barren Patios,Cu 324.75,1.622
Tubo 3,Cu 324.75,0.439
Especial 1,Cu 324.75,3.26
Especial 2,Cu 324.75,1.264
Especial 3,Cu 324.75,0.805
Especial 4,Cu 324.75,1.077
Especial 5,Cu 324.75,7.024
Especial 6,Cu 324.75,0.084
