Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,12.93
Comp. Cola Columna,Cu 324.75,11.89
Barren,Cu 324.75,12.1
Cabeza puntual retorno,Cu 324.75,13.03
Columna #1,Cu 324.75,12.79
Columna #2,Cu 324.75,12.93
Columna #3,Cu 324.75,12.81
Columna #4,Cu 324.75,12.84
Columna #5,Cu 324.75,13.01
Celda # 11-A,Cu 324.75,4.766
Celda # 11-B,Cu 324.75,48.5
Celda # 11-C,Cu 324.75,40.48
Celda #5-9,Cu 324.75,0.121
Celda #(F1+F2),Cu 324.75,1.5
NE Tubo 1,Cu 324.75,27.35
NE Tubo 2,Cu 324.75,0.525
NE Tubo 4,Cu 324.75,1.764
NE Tubo 5,Cu 324.75,0.592
NE Tubo 6,Cu 324.75,0.403
NE Tubo 7,Cu 324.75,2.287
Puntual Noroeste,Cu 324.75,1.139
Barren Patios,Cu 324.75,11.43
Tubo 3,Cu 324.75,1.108
Especial 1,Cu 324.75,0.044
Especial 2,Cu 324.76,0.037
Especial 3,Cu 324.77,0.342
Especial 4,Cu 324.78,0.129
Especial 5,Cu 324.79,0.043
