Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.101
Columna #1,Au 242.80,0.073
Columna #2,Au 242.80,0.058
Columna #3,Au 242.80,0.026
Columna #4,Au 242.80,0.016
Columna #5,Au 242.80,0.01
Cabeza puntual retorno,Au 242.80,0.107
Celda #5-9,Au 242.80,0.069
Celda #(F1+F2),Au 242.80,0.109
NE Tubo 2,Au 242.80,0.08
NE Tubo 4,Au 242.80,0.079
NE Tubo 5,Au 242.80,0.228
NE Tubo 6,Au 242.80,0.192
NE Tubo 7,Au 242.80,0.039
Puntual Noroeste,Au 242.80,0.114
Barren Patios,Au 242.80,0.001
Tubo 3,Au 242.80,0.095
Especial 1,Au 242.80,0.052
Especial 2,Au 242.80,0.079
Especial 3,Au 242.80,0.039
Especial 4,Au 242.80,0.101
Especial 5,Au 242.80,0.085
Especial 6,Au 242.80,0.001
Comp. Cola Columna,Au 242.80,0.001
Barren,Au 242.80,0.003
Celda # 11-A,Au 242.80,0.001
Celda # 11-B,Au 242.80,0.001
Celda # 11-C,Au 242.80,0.001
NE Tubo 1,Au 242.80,0.001
