Sample ID,Analyte Name,Reported Conc (Samp)
ESCORIA MC LOTE 200,Fe,2.278
ESCORIA MC LOTE 200,Cd,0.038
ESCORIA MC LOTE 200,Pb,1.583
ESCORIA MC LOTE 200,Cu,3.247
ESCORIA MC LOTE 200,Zn,651.9
