Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,14.15
Cabeza puntual retorno,Cu 324.75,14.22
Celda #(F1+F2),Cu 324.75,1.596
Puntual Noroeste,Cu 324.75,1.233
Tubo 3,Cu 324.75,0.885
Comp. Cola Columna,Cu 324.75,14.57
Barren,Cu 324.75,12.78
Celda # 11-A,Cu 324.75,7.785
Celda # 11-B,Cu 324.75,52.89
Celda # 11-C,Cu 324.75,30.96
Celda # 6-F2,Cu 324.75,6.382
Celda #5-9,Cu 324.75,0.275
NE Tubo 1,Cu 324.75,16.13
NE Tubo 2,Cu 324.75,0.810
NE Tubo 4,Cu 324.75,2.250
NE Tubo 5,Cu 324.75,0.714
NE Tubo 6,Cu 324.75,0.420
NE Tubo 7,Cu 324.75,2.290
Barren Patios,Cu 324.75,11.94
Especial 1,Cu 324.75,0.488
Especial 2,Cu 324.75,0.063
Especial 3,Cu 324.75,0.524
Especial 4,Cu 324.75,0.144
Especial 5,Cu 324.75,0.036
