Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.082
Comp. Cola Columna,Au 242.80,0.012
Barren,Au 242.80,0.017
Cabeza puntual retorno,Au 242.80,0.083
Celda # 11-A,Au 242.80,0.004
Celda # 11-B,Au 242.80,0.007
Celda # 11-C,Au 242.80,0.008
Celda # 6-F2,Au 242.80,0.085
Celda #5-9,Au 242.80,0.031
Celda #(F1+F2),Au 242.80,0.099
NE Tubo 1,Au 242.80,0.005
NE Tubo 2,Au 242.80,0.13
NE Tubo 4,Au 242.80,0.027
NE Tubo 5,Au 242.80,0.031
NE Tubo 6,Au 242.80,0.02
NE Tubo 7,Au 242.80,0.048
Puntual Noroeste,Au 242.80,0.082
Barren Patios,Au 242.80,0.01
Tubo 3,Au 242.80,0.131
Especial 1,Au 242.80,0.139
Especial 2,Au 242.80,0.048
Especial 3,Au 242.80,0.038
Especial 4,Au 242.80,0.03
Especial 5,Au 242.80,0.046
