Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.441
Comp. Cola Columna,Ag 328.07,0.418
Barren,Ag 328.07,0.4
Cabeza puntual retorno,Ag 328.07,0.431
Columna #1,Ag 328.07,0.405
Columna #2,Ag 328.07,0.415
Columna #3,Ag 328.07,0.41
Columna #4,Ag 328.07,0.397
Columna #5,Ag 328.07,0.374
Celda # 11-A,Ag 328.07,1.548
Celda # 11-B,Ag 328.07,0.037
Celda # 11-C,Ag 328.07,0.146
Celda #5-9,Ag 328.07,3.247
Celda #(F1+F2),Ag 328.07,0.355
Especial 1,Ag 328.07,0.454
Especial 2,Ag 328.07,2.674
Especial 3,Ag 328.07,0.055
Especial 4,Ag 328.07,0.072
Especial 5,Ag 328.07,5.049
NE Tubo 1,Ag 328.07,0.128
NE Tubo 2,Ag 328.07,0.031
NE Tubo 4,Ag 328.07,0.785
NE Tubo 5,Ag 328.07,0.905
NE Tubo 6,Ag 328.07,0.752
NE Tubo 7,Ag 328.07,0.687
Puntual Noroeste,Ag 328.07,0.436
Barren Patios,Ag 328.07,0.382
Tubo 3,Ag 328.07,0.212
