Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.235
Cabeza puntual retorno,Cu 324.75,0.206
Celda #(F1+F2),Cu 324.75,0.204
Puntual Noroeste,Cu 324.75,0.217
Tubo 3,Cu 324.75,0.341
Comp. Cola Columna,Cu 324.75,0.269
Barren,Cu 324.75,0.272
Celda # 11-A,Cu 324.75,0.097
Celda # 11-B,Cu 324.75,0.024
Celda # 11-C,Cu 324.75,0.053
Celda #5-9,Cu 324.75,0.404
NE Tubo 1,Cu 324.75,0.021
NE Tubo 2,Cu 324.75,0.030
NE Tubo 4,Cu 324.75,0.017
NE Tubo 5,Cu 324.75,0.027
NE Tubo 6,Cu 324.75,0.008
NE Tubo 7,Cu 324.75,0.583
Barren Patios,Cu 324.75,0.240
Especial 1,Cu 324.75,0.014
Especial 2,Cu 324.75,0.006
Especial 3,Cu 324.75,0.132
Especial 4,Cu 324.75,0.114
Especial 5,Cu 324.75,0.025
