Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.79
Comp. Cola Columna,Cu 324.75,0.844
Barren,Cu 324.75,0.856
Cabeza puntual retorno,Cu 324.75,0.753
Celda # 11-A,Cu 324.75,0.022
Celda # 11-B,Cu 324.75,0.06
Celda # 11-C,Cu 324.75,1.77
Celda #5-9,Cu 324.75,0.066
Celda #(F1+F2),Cu 324.75,0.753
NE Tubo 1,Cu 324.75,0.043
NE Tubo 2,Cu 324.75,0.114
NE Tubo 4,Cu 324.75,1.273
NE Tubo 5,Cu 324.75,0.665
NE Tubo 6,Cu 324.75,0.086
NE Tubo 7,Cu 324.75,2.591
Puntual Noroeste,Cu 324.75,0.882
Barren Patios,Cu 324.75,0.856
Tubo 3,Cu 324.75,0.221
Especial 1,Cu 324.75,0.066
Especial 2,Cu 324.75,0.036
Especial 3,Cu 324.75,0.082
Especial 4,Cu 324.75,0.128
Especial 5,Cu 324.75,0.062
Especial 6,Cu 324.75,0.055
Columna #1,Cu 324.75,0.789
Columna #2,Cu 324.75,0.835
Columna #3,Cu 324.75,0.825
Columna #4,Cu 324.75,0.841
Columna #5,Cu 324.75,0.834
