Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.913
Cabeza puntual retorno,Cu 324.75,0.854
Celda #(F1+F2),Cu 324.75,0.333
Puntual Noroeste,Cu 324.75,0.084
Tubo 3,Cu 324.75,0.082
NE Tubo 2,Cu 324.75,0.051
NE Tubo 4,Cu 324.75,0.105
Especial 1,Cu 324.75,0.32
Especial 2,Cu 324.75,1.229
Especial 3,Cu 324.75,0.076
Especial 4,Cu 324.75,0.062
Especial 5,Cu 324.75,7.352
Barren,Cu 324.75,0.73
Barren Patios,Cu 324.75,0.734
NE Tubo 1,Cu 324.75,0.027
NE Tubo 5,Cu 324.75,0.034
NE Tubo 6,Cu 324.75,0.029
NE Tubo 7,Cu 324.75,0.062
Celda # 11-A,Cu 324.75,0.186
Celda # 11-B,Cu 324.75,1.554
Celda # 11-C,Cu 324.75,3.83
Celda # 6-F2,Cu 324.75,4.556
Celda #5-9,Cu 324.75,0.315
