Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.118
Comp. Cola Columna,Au 242.80,0.005
Barren,Au 242.80,0.008
Cabeza puntual retorno,Au 242.80,0.119
Celda # 11-A,Au 242.80,0.042
Celda # 11-B,Au 242.80,0.028
Celda # 11-C,Au 242.80,0.005
Celda # 6-F2,Au 242.80,0.052
Celda #5-9,Au 242.80,0.016
Celda #(F1+F2),Au 242.80,0.125
NE Tubo 1,Au 242.80,0.001
NE Tubo 2,Au 242.80,0.118
NE Tubo 4,Au 242.80,0.08
NE Tubo 5,Au 242.80,0.043
NE Tubo 6,Au 242.80,0.076
NE Tubo 7,Au 242.80,0.137
Puntual Noroeste,Au 242.80,0.127
Barren Patios,Au 242.80,0.013
Tubo 3,Au 242.80,0.186
Especial 1,Au 242.80,0.113
Especial 2,Au 242.80,0.047
Especial 3,Au 242.80,0.098
Especial 4,Au 242.80,0.089
Especial 5,Au 242.80,0.046
