Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.809
Cabeza puntual retorno,Cu 324.75,1.696
Celda #(F1+F2),Cu 324.75,1.848
Puntual Noroeste,Cu 324.75,1.815
Tubo 3,Cu 324.75,3.363
Comp. Cola Columna,Cu 324.75,1.764
Barren,Cu 324.75,1.723
Celda # 11-A,Cu 324.75,0.394
Celda # 11-B,Cu 324.75,0.139
Celda # 11-C,Cu 324.75,0.066
Celda #5-9,Cu 324.75,3.300
NE Tubo 1,Cu 324.75,0.079
NE Tubo 2,Cu 324.75,0.094
NE Tubo 4,Cu 324.75,0.118
NE Tubo 5,Cu 324.75,0.046
NE Tubo 6,Cu 324.75,0.298
NE Tubo 7,Cu 324.75,3.359
Barren Patios,Cu 324.75,1.231
Especial 1,Cu 324.75,2.325
Especial 2,Cu 324.75,0.234
Especial 3,Cu 324.75,0.102
Especial 4,Cu 324.75,0.326
Especial 5,Cu 324.75,0.734
Columna #1,Cu 324.75,1.617
Columna #2,Cu 324.75,1.650
Columna #3,Cu 324.75,1.659
Columna #4,Cu 324.75,1.563
Columna #5,Cu 324.75,1.596
