Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.102
Comp. Cola Columna,Cu 324.75,0.995
Barren,Cu 324.75,1.348
Cabeza puntual retorno,Cu 324.75,1.096
Celda # 11-A,Cu 324.75,0.102
Celda # 11-B,Cu 324.75,6.494
Celda # 11-C,Cu 324.75,1.037
Celda #5-9,Cu 324.75,0.041
Celda #(F1+F2),Cu 324.75,0.853
NE Tubo 1,Cu 324.75,9.155
NE Tubo 2,Cu 324.75,0.693
NE Tubo 4,Cu 324.75,1.404
NE Tubo 5,Cu 324.75,0.622
NE Tubo 6,Cu 324.75,0.258
NE Tubo 7,Cu 324.75,1.973
Puntual Noroeste,Cu 324.75,0.878
Barren Patios,Cu 324.75,1.1
Tubo 3,Cu 324.75,0.213
Especial 1,Cu 324.75,0.051
Especial 2,Cu 324.75,0.026
Especial 3,Cu 324.75,0.066
Especial 4,Cu 324.75,0.099
Especial 5,Cu 324.75,0.202
Especial 6,Cu 324.75,1.055
