Sample ID,Analyte Name,Reported Conc (Calib),,,,,
Comp. Cabeza Columna,Au 242.80,0.103,,,,,
Comp. Cola Columna,Au 242.80,0.01,,,,,
Barren,Au 242.80,0.011,,,,,
Cabeza puntual retorno,Au 242.80,0.103,,,,,
Celda # 11-A,Au 242.80,0.002,,,,,
Celda # 11-B,Au 242.80,0.003,,,,,
Celda # 11-C,Au 242.80,0.003,,,,,
Celda # 6-F2,Au 242.80,0.044,,,,,
Celda #5-9,Au 242.80,0.058,,,,,
Celda #(F1+F2),Au 242.80,0.114,,,,,
NE Tubo 1,Au 242.80,0.001,,,,,
NE Tubo 2,Au 242.80,0.108,,,,,º
NE Tubo 4,Au 242.80,0.065,,,,,
NE Tubo 5,Au 242.80,0.103,,,,,
NE Tubo 6,Au 242.80,0.244,,,,,
NE Tubo 7,Au 242.80,0.045,,,,,
Puntual Noroeste,Au 242.80,0.115,,,,,
Barren Patios,Au 242.80,0.004,,,,,
Tubo 3,Au 242.80,0.123,,,,,
Especial 1,Au 242.80,0.077,,,,,
Especial 2,Au 242.80,0.077,,,,,
Especial 3,Au 242.80,0.017,,,,,
Especial 4,Au 242.80,0.023,,,,,
Especial 5,Au 242.80,0.083,,,,,
