Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.851
Comp. Cola Columna,Cu 324.75,0.843
Barren,Cu 324.75,0.91
Cabeza puntual retorno,Cu 324.75,0.846
Celda # 11-A,Cu 324.75,0.2
Celda # 11-B,Cu 324.75,0.51
Celda # 11-C,Cu 324.75,0.095
Celda #5-9,Cu 324.75,3.044
Celda #(F1+F2),Cu 324.75,0.719
NE Tubo 1,Cu 324.75,0.02
NE Tubo 2,Cu 324.75,1.174
NE Tubo 4,Cu 324.75,0.052
NE Tubo 5,Cu 324.75,0.049
NE Tubo 6,Cu 324.75,0.102
NE Tubo 7,Cu 324.75,1.099
Puntual Noroeste,Cu 324.75,0.515
Barren Patios,Cu 324.75,0.733
Tubo 3,Cu 324.75,0.391
Especial 1,Cu 324.75,0.136
Especial 2,Cu 324.75,0.064
Especial 3,Cu 324.75,0.043
Especial 4,Cu 324.75,0.062
Especial 5,Cu 324.75,0.37
Especial 6,Cu 324.75,0.012
Columna #1,Cu 324.75,0.835
Columna #2,Cu 324.75,0.864
Columna #3,Cu 324.75,0.829
Columna #5,Cu 324.75,0.862
