Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.069
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.012
Cabeza puntual retorno,Au 242.80,0.065
Celda # 11-A,Au 242.80,0.083
Celda # 11-B,Au 242.80,0.005
Celda # 11-C,Au 242.80,0.015
Celda # 6-F2,Au 242.80,0.089
Celda #5-9,Au 242.80,0.037
Celda #(F1+F2),Au 242.80,0.053
NE Tubo 1,Au 242.80,0.006
NE Tubo 2,Au 242.80,0.023
NE Tubo 4,Au 242.80,0.022
NE Tubo 5,Au 242.80,0.03
NE Tubo 6,Au 242.80,0.082
NE Tubo 7,Au 242.80,0.112
Puntual Noroeste,Au 242.80,0.061
Barren Patios,Au 242.80,0.012
Tubo 3,Au 242.80,0.07
Especial 1,Au 242.80,0.181
Especial 2,Au 242.80,0.235
Especial 3,Au 242.80,0.02
Especial 4,Au 242.80,0.024
Especial 5,Au 242.80,0.178
