Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.172
Comp. Cola Columna,Au 242.80,0.015
Barren,Au 242.80,0.026
Cabeza puntual retorno,Au 242.80,0.17
Columna #1,Au 242.80,0.129
Columna #2,Au 242.80,0.088
Columna #3,Au 242.80,0.054
Columna #4,Au 242.80,0.035
Columna #5,Au 242.80,0.021
Celda # 11-A,Au 242.80,0.094
Celda # 11-B,Au 242.80,0.168
Celda # 11-C,Au 242.80,0.127
Celda #5-9,Au 242.80,0.029
Celda #(F1+F2),Au 242.80,0.163
NE Tubo 1,Au 242.80,0.126
NE Tubo 2,Au 242.80,0.115
NE Tubo 4,Au 242.80,0.228
NE Tubo 5,Au 242.80,0.23
NE Tubo 6,Au 242.80,0.119
NE Tubo 7,Au 242.80,0.182
Puntual Noroeste,Au 242.80,0.178
Barren Patios,Au 242.80,0.017
Tubo 3,Au 242.80,0.167
Especial 1,Au 242.80,0.052
Especial 2,Au 242.80,0.034
Especial 3,Au 242.80,0.038
Especial 4,Au 242.80,0.037
Especial 5,Au 242.80,0.035
