Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.531
Comp. Cola Columna,Cu 324.75,0.584
Barren,Cu 324.75,0.585
Cabeza puntual retorno,Cu 324.75,0.519
Columna #1,Cu 324.75,0.509
Columna #2,Cu 324.75,0.517
Columna #3,Cu 324.75,0.541
Columna #4,Cu 324.75,0.552
Columna #5,Cu 324.75,0.566
Celda # 11-A,Cu 324.75,3.058
Celda # 11-B,Cu 324.75,0.336
Celda # 11-C,Cu 324.75,0.31
Celda #5-9,Cu 324.75,1.019
Celda #(F1+F2),Cu 324.75,0.387
NE Tubo 1,Cu 324.75,0.035
NE Tubo 2,Cu 324.75,0.089
NE Tubo 4,Cu 324.75,0.688
NE Tubo 5,Cu 324.75,0.668
NE Tubo 6,Cu 324.75,0.504
NE Tubo 7,Cu 324.75,0.105
Puntual Noroeste,Cu 324.75,0.303
Barren Patios,Cu 324.75,0.538
Tubo 3,Cu 324.75,0.084
Especial 1,Cu 324.75,0.094
Especial 2,Cu 324.75,0.056
Especial 3,Cu 324.75,0.104
Especial 4,Cu 324.75,0.16
Especial 5,Cu 324.75,0.118
