Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,4.905
Comp. Cola Columna,Cu 324.75,5.159
Barren,Cu 324.75,4.711
Cabeza puntual retorno,Cu 324.75,4.907
Celda # 11-A,Cu 324.75,1.371
Celda # 11-B,Cu 324.75,0.376
Celda # 11-C,Cu 324.75,1.908
Celda # 6-F2,Cu 324.75,0.032
Celda #5-9,Cu 324.75,2.069
Celda #(F1+F2),Cu 324.75,5.752
NE Tubo 1,Cu 324.75,0.028
NE Tubo 2,Cu 324.75,0.067
NE Tubo 4,Cu 324.75,1.103
NE Tubo 5,Cu 324.75,11.54
NE Tubo 6,Cu 324.75,3.598
NE Tubo 7,Cu 324.75,17.53
Puntual Noroeste,Cu 324.75,5.812
Barren Patios,Cu 324.75,4.940
Tubo 3,Cu 324.75,5.281
Especial 1,Cu 324.75,0.110
Especial 2,Cu 324.75,0.032
Especial 3,Cu 324.75,0.278
Especial 4,Cu 324.75,1.310
Especial 5,Cu 324.75,0.516
