Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.175
Comp. Cola Columna,Au 242.80,0.016
Barren,Au 242.80,0.02
Cabeza puntual retorno,Au 242.80,0.17
Celda # 11-A,Au 242.80,0.074
Celda # 11-B,Au 242.80,0.248
Celda # 11-C,Au 242.80,0.105
Celda # 6-F2,Au 242.80,0.015
Celda #5-9,Au 242.80,0.016
Celda #(F1+F2),Au 242.80,0.165
NE Tubo 1,Au 242.80,0.105
NE Tubo 2,Au 242.80,0.103
NE Tubo 4,Au 242.80,0.232
NE Tubo 5,Au 242.80,0.234
NE Tubo 6,Au 242.80,0.116
NE Tubo 7,Au 242.80,0.182
Puntual Noroeste,Au 242.80,0.167
Tubo 3,Au 242.80,0.174
Especial 1,Au 242.80,0.051
Especial 2,Au 242.80,0.035
Especial 3,Au 242.80,0.033
Especial 4,Au 242.80,0.029
Especial 5,Au 242.80,0.017
