Sample ID,Analyte Name,Reported Conc (Calib)
NE Tubo 1,Au 242.80,0.013
NE Tubo 2,Au 242.80,0.129
NE Tubo 4,Au 242.80,0.054
NE Tubo 5,Au 242.80,0.041
NE Tubo 6,Au 242.80,0.017
NE Tubo 7,Au 242.80,0.03
Puntual Noroeste,Au 242.80,0.079
Barren Patios,Au 242.80,0.011
Tubo 3,Au 242.80,0.12
Comp. Cabeza Columna,Au 242.80,0.084
Comp. Cola Columna,Au 242.80,0.005
Barren,Au 242.80,0.012
Cabeza puntual retorno,Au 242.80,0.083
Columna #1,Au 242.80,0.07
Columna #2,Au 242.80,0.044
Columna #3,Au 242.80,0.032
Columna #4,Au 242.80,0.011
Columna #5,Au 242.80,0.006
Celda # 11-A,Au 242.80,0.027
Celda # 11-B,Au 242.80,0
Celda # 11-C,Au 242.80,0.002
Celda #5-9,Au 242.80,0.057
Celda #(F1+F2),Au 242.80,0.088
Especial 1,Au 242.80,0.062
Especial 2,Au 242.80,0.036
Especial 3,Au 242.80,0.005
Especial 4,Au 242.80,0.019
Especial 5,Au 242.80,0.04
