Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.061
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.014
Cabeza puntual retorno,Au 242.80,0.067
Celda # 11-A,Au 242.80,0.017
Celda # 11-B,Au 242.80,0.007
Celda # 11-C,Au 242.80,0.001
Celda # 6-F2,Au 242.80,0.05
Celda #5-9,Au 242.80,0.019
Celda #(F1+F2),Au 242.80,0.082
NE Tubo 1,Au 242.80,0.013
NE Tubo 2,Au 242.80,0.081
NE Tubo 4,Au 242.80,0.027
NE Tubo 5,Au 242.80,0.033
NE Tubo 6,Au 242.80,0.21
NE Tubo 7,Au 242.80,0.09
Puntual Noroeste,Au 242.80,0.087
Barren Patios,Au 242.80,0.014
Tubo 3,Au 242.80,0.078
Especial 1,Au 242.80,0.068
Especial 2,Au 242.80,0.097
Especial 3,Au 242.80,0.049
Especial 4,Au 242.80,0.026
Especial 5,Au 242.80,0.103
Especial 6,Au 242.80,0.001
