Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.322
Cabeza puntual retorno,Cu 324.75,0.331
Celda #(F1+F2),Cu 324.75,0.378
Puntual Noroeste,Cu 324.75,0.402
Tubo 3,Cu 324.75,0.772
Comp. Cola Columna,Cu 324.75,0.365
Barren,Cu 324.75,0.466
Celda # 11-A,Cu 324.75,0.146
Celda # 11-B,Cu 324.75,0.103
Celda # 11-C,Cu 324.75,0.124
Celda # 6-F2,Cu 324.75,0.833
Celda #5-9,Cu 324.75,0.517
NE Tubo 1,Cu 324.75,0.091
NE Tubo 2,Cu 324.75,0.100
NE Tubo 4,Cu 324.75,0.091
NE Tubo 5,Cu 324.75,0.081
NE Tubo 6,Cu 324.75,0.076
NE Tubo 7,Cu 324.75,0.318
Barren Patios,Cu 324.75,0.486
Especial 1,Cu 324.75,0.100
Especial 2,Cu 324.75,0.089
Especial 3,Cu 324.75,0.157
Especial 4,Cu 324.75,0.166
Especial 5,Cu 324.75,0.104
