Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.038
Comp. Cola Columna,Cu 324.75,0.988
Barren,Cu 324.75,1.141
Cabeza puntual retorno,Cu 324.75,1.059
Celda # 11-A,Cu 324.75,0.199
Celda # 11-B,Cu 324.75,0.103
Celda # 11-C,Cu 324.75,0.078
Celda # 6-F2,Cu 324.75,0.06
Celda #5-9,Cu 324.75,0.635
Celda #(F1+F2),Cu 324.75,1.435
NE Tubo 1,Cu 324.75,0.058
NE Tubo 2,Cu 324.75,0.21
NE Tubo 4,Cu 324.75,0.081
NE Tubo 5,Cu 324.75,1.469
NE Tubo 6,Cu 324.75,6.299
NE Tubo 7,Cu 324.75,3.063
Puntual Noroeste,Cu 324.75,1.514
Barren Patios,Cu 324.75,1.175
Tubo 3,Cu 324.75,1.15
Especial 1,Cu 324.75,0.154
Especial 2,Cu 324.75,0.08
Especial 3,Cu 324.75,0.151
Especial 4,Cu 324.75,0.217
Especial 5,Cu 324.75,0.125
Especial 6,Cu 324.75,0.098
