Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.192
Comp. Cola Columna,Au 242.80,0.014
Barren,Au 242.80,0.02
Cabeza puntual retorno,Au 242.80,0.194
Celda # 11-A,Au 242.80,0.11
Celda # 11-B,Au 242.80,0.253
Celda # 11-C,Au 242.80,0.183
Celda #5-9,Au 242.80,0.043
Celda #(F1+F2),Au 242.80,0.165
NE Tubo 1,Au 242.80,0.167
NE Tubo 2,Au 242.80,0.103
NE Tubo 4,Au 242.80,0.173
NE Tubo 5,Au 242.80,0.13
NE Tubo 6,Au 242.80,0.05
NE Tubo 7,Au 242.80,0.187
Puntual Noroeste,Au 242.80,0.171
Barren Patios,Au 242.80,0.027
Tubo 3,Au 242.80,0.194
Especial 2,Au 242.80,0.033
Especial 3,Au 242.80,0.027
Especial 4,Au 242.80,0.016
Especial 5,Au 242.80,0.002
Columna #1,Au 242.80,0.146
Columna #2,Au 242.80,0.111
Columna #3,Au 242.80,0.068
Columna #4,Au 242.80,0.027
Columna #5,Au 242.80,0.012
