Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.405
Comp. Cola Columna,Cu 324.75,2.183
Barren,Cu 324.75,1.902
Cabeza puntual retorno,Cu 324.75,2.339
Celda # 11-A,Cu 324.75,0.691
Celda # 11-B,Cu 324.75,0.161
Celda # 11-C,Cu 324.75,0.18
Celda # 6-F2,Cu 324.75,0.031
Celda #5-9,Cu 324.75,10.1
Celda #(F1+F2),Cu 324.75,0.74
NE Tubo 1,Cu 324.75,0.097
NE Tubo 2,Cu 324.75,0.081
NE Tubo 4,Cu 324.75,0.339
NE Tubo 5,Cu 324.75,0.073
NE Tubo 6,Cu 324.75,0.145
NE Tubo 7,Cu 324.75,0.428
Puntual Noroeste,Cu 324.75,0.755
Barren Patios,Cu 324.75,1.913
Tubo 3,Cu 324.75,1.169
Especial 1,Cu 324.75,4.041
Especial 2,Cu 324.75,1.907
Especial 3,Cu 324.75,1.05
Especial 4,Cu 324.75,1.604
Especial 5,Cu 324.75,8.97
