Analyst,,,,,,
Date Started,4/30/2025 1:14 AM  GMT: 4/30/2025 8:14 AM,,,,,
Worksheet,LC004349_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/30/2025,1:28:42 AM,PATRON,0.9243,,mg/L,1.1
4/30/2025,1:28:54 AM,BLANCO,0.0007,,mg/L,>100
4/30/2025,1:29:04 AM,REAGENT BLANK,0,,mg/L,76.4
4/30/2025,1:29:36 AM,LC004349-002,0.1641,,mg/L,1.4
4/30/2025,1:29:50 AM,LC004349-003,0.0754,,mg/L,3.9
4/30/2025,1:30:04 AM,LC004349-004,0.0704,,mg/L,4
4/30/2025,1:30:18 AM,LC004349-005,0.1288,,mg/L,0.5
4/30/2025,1:30:34 AM,LC004349-006,0.0065,,mg/L,2.4
4/30/2025,1:30:48 AM,PATRON,0.9194,,mg/L,0.7
4/30/2025,1:31:04 AM,LC004349-007,0.0699,,mg/L,0.9
4/30/2025,1:31:22 AM,LC004349-008,0.0055,,mg/L,8.3
4/30/2025,1:31:38 AM,LC004349-009,0.5448,,mg/L,0.4
4/30/2025,1:31:54 AM,LC004349-010,0.0892,,mg/L,1.7
4/30/2025,1:32:08 AM,LC004349-011,0.4618,,mg/L,0.6
4/30/2025,1:32:26 AM,LC004349-012,0.1142,,mg/L,2.5
4/30/2025,1:32:46 AM,PATRON,0.9119,,mg/L,0.5
4/30/2025,1:33:08 AM,LC004349-013,0.0855,,mg/L,0.2
4/30/2025,1:33:24 AM,LC004349-014,0.0758,,mg/L,0.9
4/30/2025,1:33:42 AM,LC004349-015,0.0071,,mg/L,8.4
4/30/2025,1:34:02 AM,PATRON,0.9076,,mg/L,0.5
4/30/2025,1:34:18 AM,BLANCO,0.01,,mg/L,50.5
4/30/2025,1:34:28 AM,REAGENT BLANK,0,,mg/L,88.4
4/30/2025,1:36:42 AM,LC004349-001,0.1567,,mg/L,1.8
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
