Sample ID,Analyte Name,Reported Conc (Samp)
54,Ag 328.07,0.015
55,Ag 328.07,0.007
58,Ag 328.07,0.005
59,Ag 328.07,0.004
60,Ag 328.07,0.006
61,Ag 328.07,0.012
COL. 1,Ag 328.07,0.022
COL. 2,Ag 328.07,0.018
COL. 3,Ag 328.07,0.031
COL. 4,Ag 328.07,0.019
COL. 5,Ag 328.07,6.258
COL. 6,Ag 328.07,0.333
375-1,Ag 328.07,0.075
375-2,Ag 328.07,0.083
375-3,Ag 328.07,0.14
VM 1,Ag 328.07,0.018
VM 2,Ag 328.07,0.025
VM 3,Ag 328.07,0.008
VM 4,Ag 328.07,0.024
VM 5,Ag 328.07,0.034
VM 6,Ag 328.07,0.003
VM 7,Ag 328.07,0.003
VM 8,Ag 328.07,0.062
VM 9,Ag 328.07,0.004
