Analyst,Judas Orduño,,,,
Date Started,10/06/2023 2:45 AM  GMT: 10/6/2023 2:59 AM,,,,
Worksheet,LC000457_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
10/06/2023,2:45:30 a.m.,PATRON,0.924,,mg/L
10/06/2023,2:46:00 a.m.,BLANCO,0.001,,mg/L
10/06/2023,2:46:30 a.m.,REAGENT BLANK,-0.003,,mg/L
10/06/2023,2:47:00 a.m.,LC000457-001,0.0023,,mg/L
10/06/2023,2:47:30 a.m.,LC000457-002,0.1225,,mg/L
10/06/2023,2:48:00 a.m.,LC000457-003,0.0023,,mg/L
10/06/2023,2:48:30 a.m.,LC000457-004,0.0216,,mg/L
10/06/2023,2:49:00 a.m.,LC000457-005,0.0046,,mg/L
10/06/2023,2:49:30 a.m.,LC000457-006,0.0009,,mg/L
10/06/2023,2:50:00 a.m.,PATRON,0.915,,mg/L
10/06/2023,2:50:30 a.m.,LC000457-007,0.0039,,mg/L
10/06/2023,2:51:00 a.m.,LC000457-008,0.0016,,mg/L
10/06/2023,2:51:30 a.m.,LC000457-009,0.0056,,mg/L
10/06/2023,2:52:00 a.m.,LC000457-010,0.0016,,mg/L
10/06/2023,2:52:30 a.m.,LC000457-011,0.0023,,mg/L
10/06/2023,2:53:00 a.m.,LC000457-012,0.0063,,mg/L
10/06/2023,2:53:30 a.m.,PATRON,0.9059,,mg/L
10/06/2023,2:54:00 a.m.,LC000457-013,0.0056,,mg/L
10/06/2023,2:54:30 a.m.,LC000457-014,0.0016,,mg/L
10/06/2023,2:55:00 a.m.,LC000457-015,0.0033,,mg/L
10/06/2023,2:55:30 a.m.,LC000457-016,0.0023,,mg/L
10/06/2023,2:56:00 a.m.,LC000457-017,0.0036,,mg/L
10/06/2023,2:56:30 a.m.,LC000457-018,0.0046,,mg/L
10/06/2023,2:57:00 a.m.,PATRON,0.8999,,mg/L
10/06/2023,2:57:30 a.m.,LC000457-019,0.8814,,mg/L
10/06/2023,2:58:00 a.m.,LC000457-020,0.0126,,mg/L
10/06/2023,2:58:30 a.m.,LC000457-021,0.0066,,mg/L
10/06/2023,2:59:00 a.m.,LC000457-022,0.0069,,mg/L
10/06/2023,2:59:30 a.m.,LC000457-023,0.0073,,mg/L
10/06/2023,2:59:40 a.m.,LC000457-024,0.0056,,mg/L
10/06/2023,2:59:55 a.m.,PATRON,0.889,,mg/L
