Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.147
Cabeza puntual retorno,Cu 324.75,1.14
Celda #(F1+F2),Cu 324.75,1.176
Puntual Noroeste,Cu 324.75,0.074
Tubo 3,Cu 324.75,0.058
NE Tubo 2,Cu 324.75,0.174
NE Tubo 4,Cu 324.75,0.059
Especial 1,Cu 324.75,0.108
Especial 2,Cu 324.75,0.082
Especial 3,Cu 324.75,0.166
Especial 4,Cu 324.75,0.124
Especial 5,Cu 324.75,0.12
Columna #1,Cu 324.75,1.103
Columna #2,Cu 324.75,0.906
Columna #3,Cu 324.75,0.769
Columna #4,Cu 324.75,0.647
Columna #5,Cu 324.75,0.612
Comp. Cola Columna,Cu 324.75,0.664
Barren,Cu 324.75,0.717
Barren Patios,Cu 324.75,0.695
NE Tubo 1,Cu 324.75,1.682
NE Tubo 5,Cu 324.75,0.022
NE Tubo 6,Cu 324.75,0.04
NE Tubo 7,Cu 324.75,0.044
Celda # 11-A,Cu 324.75,0.088
Celda # 11-B,Cu 324.75,1.238
Celda # 11-C,Cu 324.75,0.108
Celda #5-9,Cu 324.75,0.04
