Sample ID,Analyte Name,Reported Conc (Calib)
Comp. cabeza columna,Au 242.80,0.102
Comp. Cola Columna,Au 242.80,0.005
Barren,Au 242.80,0.007
Cabeza puntual retorno,Au 242.80,0.105
Columna #1,Au 242.80,0.1
Columna #2,Au 242.80,0.06
Columna #3,Au 242.80,0.04
Columna #4,Au 242.80,0.024
Columna #5,Au 242.80,0.01
Celda # 11-A,Au 242.80,0.003
Celda # 11-B,Au 242.80,0.001
Celda # 11-C,Au 242.80,0.002
Celda #5-9,Au 242.80,0.056
Celda #(F1+F2),Au 242.80,0.123
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.092
NE Tubo 4,Au 242.80,0.089
NE Tubo 5,Au 242.80,0.185
NE Tubo 6,Au 242.80,0.222
NE Tubo 7,Au 242.80,0.042
Puntual Noroeste,Au 242.80,0.115
Barren Patios,Au 242.80,0.014
Tubo 3,Au 242.80,0.114
Especial 1,Au 242.80,0.091
Especial 3,Au 242.80,0.072
Especial 2,Au 242.80,0.019
Especial 4,Au 242.80,0.049
Especial 5,Au 242.80,0.072
Especial 6,Au 242.80,0.002
