Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.368
Comp. Cola Columna,Cu 324.75,1.369
Barren,Cu 324.75,1.83
Cabeza puntual retorno,Cu 324.75,1.346
Celda # 11-A,Cu 324.75,0.12
Celda # 11-B,Cu 324.75,11
Celda # 11-C,Cu 324.75,1.966
Celda # 6-F2,Cu 324.75,0.157
Celda #5-9,Cu 324.75,0.026
Celda #(F1+F2),Cu 324.75,0.995
NE Tubo 1,Cu 324.75,11.55
NE Tubo 2,Cu 324.75,0.592
NE Tubo 4,Cu 324.75,2.353
NE Tubo 5,Cu 324.75,1.569
NE Tubo 6,Cu 324.75,0.335
NE Tubo 7,Cu 324.75,0.839
Puntual Noroeste,Cu 324.75,0.961
Barren Patios,Cu 324.75,1.458
Tubo 3,Cu 324.75,0.246
Especial 1,Cu 324.75,0.064
Especial 2,Cu 324.75,0.034
Especial 3,Cu 324.75,0.057
Especial 4,Cu 324.75,0.072
Especial 5,Cu 324.75,0.039
Especial 6,Cu 324.75,0.04
