Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.709
Comp. Cola Columna,Cu 324.75,0.994
Barren,Cu 324.75,1.014
Cabeza puntual retorno,Cu 324.75,1.775
Columna #1,Cu 324.75,1.757
Columna #2,Cu 324.75,1.714
Columna #3,Cu 324.75,1.486
Columna #4,Cu 324.75,1.321
Columna #5,Cu 324.75,1.116
Celda # 11-A,Cu 324.75,0.065
Celda # 11-B,Cu 324.75,1.639
Celda # 11-C,Cu 324.75,0.138
Celda #5-9,Cu 324.75,0.023
Celda #(F1+F2),Cu 324.75,1.943
NE Tubo 1,Cu 324.75,12.28
NE Tubo 2,Cu 324.75,1.4
NE Tubo 4,Cu 324.75,0.084
NE Tubo 5,Cu 324.75,0.053
NE Tubo 6,Cu 324.75,0.027
NE Tubo 7,Cu 324.75,0.341
Puntual Noroeste,Cu 324.75,1.051
Barren Patios,Cu 324.75,0.769
Tubo 3,Cu 324.75,0.582
Especial 1,Cu 324.75,0.053
Especial 2,Cu 324.75,0.022
Especial 3,Cu 324.75,0.11
Especial 4,Cu 324.75,0.065
Especial 5,Cu 324.75,0.046
