Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.571
Comp. Cola Columna,Ag 328.07,0.232
Barren,Ag 328.07,0.373
Cabeza puntual retorno,Ag 328.07,0.565
Columna #1,Ag 328.07,0.551
Columna #2,Ag 328.07,0.483
Columna #3,Ag 328.07,0.418
Columna #4,Ag 328.07,0.349
Columna #5,Ag 328.07,0.269
Celda # 11-A,Ag 328.07,0.043
Celda # 11-B,Ag 328.07,0.211
Celda # 11-C,Ag 328.07,0.056
Celda #5-9,Ag 328.07,0.071
Celda #(F1+F2),Ag 328.07,0.653
NE Tubo 1,Ag 328.07,3.561
NE Tubo 2,Ag 328.07,0.607
NE Tubo 4,Ag 328.07,0.075
NE Tubo 5,Ag 328.07,0.103
NE Tubo 6,Ag 328.07,0.048
NE Tubo 7,Ag 328.07,0.226
Puntual Noroeste,Ag 328.07,0.450
Barren Patios,Ag 328.07,0.386
Tubo 3,Ag 328.07,0.370
Especial 1,Ag 328.07,0.228
Especial 2,Ag 328.07,0.072
Especial 3,Ag 328.07,0.067
Especial 4,Ag 328.07,0.061
Especial 5,Ag 328.07,0.190
