Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.505
Cabeza puntual retorno,Cu 324.75,0.415
Celda #(F1+F2),Cu 324.75,0.503
Puntual Noroeste,Cu 324.75,0.193
Tubo 3,Cu 324.75,0.155
NE Tubo 2,Cu 324.75,0.662
NE Tubo 4,Cu 324.75,0.082
Especial 1,Cu 324.75,0.178
Especial 2,Cu 324.75,0.285
Especial 3,Cu 324.75,0.2
Especial 4,Cu 324.75,0.175
Especial 5,Cu 324.75,0.237
Comp. Cola Columna,Cu 324.75,0.582
Barren,Cu 324.75,0.516
Barren Patios,Cu 324.75,0.403
NE Tubo 1,Cu 324.75,0.034
NE Tubo 5,Cu 324.75,0.044
NE Tubo 6,Cu 324.75,0.048
NE Tubo 7,Cu 324.75,0.136
Celda # 11-A,Cu 324.75,0.112
Celda # 11-B,Cu 324.75,0.109
Celda # 11-C,Cu 324.75,0.157
Celda # 6-F2,Cu 324.75,1.387
Celda #5-9,Cu 324.75,0.162
