Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Cu 324.75,2.502
Columna #2,Cu 324.75,2.498
Columna #3,Cu 324.75,2.499
Columna #4,Cu 324.75,2.462
Columna #5,Cu 324.75,2.482
Comp. Cola Columna,Cu 324.75,2.745
Comp. Cabeza Columna,Cu 324.75,2.583
Barren,Cu 324.75,3.056
Cabeza puntual retorno,Cu 324.75,2.516
Celda # 11-A,Cu 324.75,0.639
Celda # 11-B,Cu 324.75,30.51
Celda # 11-C,Cu 324.75,9.857
Celda #5-9,Cu 324.75,0.004
Celda #(F1+F2),Cu 324.75,1.362
NE Tubo 1,Cu 324.75,15.59
NE Tubo 2,Cu 324.75,0.929
NE Tubo 4,Cu 324.75,3.021
NE Tubo 5,Cu 324.75,1.261
NE Tubo 6,Cu 324.75,0.415
Especial 7,Cu 324.75,2.059
Puntual Noroeste,Cu 324.75,1.366
Barren Patios,Cu 324.75,3.294
Tubo 3,Cu 324.75,0.499
Especial 1,Cu 324.75,0.019
Especial 2,Cu 324.75,0.006
Especial 3,Cu 324.75,0.157
Especial 4,Cu 324.75,0.076
Especial 5,Cu 324.75,0.015
