Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.108
Comp. Cola Columna,Cu 324.75,0.969
Barren,Cu 324.75,1.128
Cabeza puntual retorno,Cu 324.75,2.106
Celda # 11-A,Cu 324.75,0.375
Celda # 11-B,Cu 324.75,0.027
Celda # 11-C,Cu 324.75,0.025
Celda #5-9,Cu 324.75,1.108
Celda #(F1+F2),Cu 324.75,2.356
NE Tubo 1,Cu 324.75,0.03
NE Tubo 2,Cu 324.75,0.209
NE Tubo 4,Cu 324.75,1.391
NE Tubo 5,Cu 324.75,3.568
NE Tubo 6,Cu 324.75,6.814
NE Tubo 7,Cu 324.75,0.787
Puntual Noroeste,Cu 324.75,2.165
Barren Patios,Cu 324.75,2.968
Tubo 3,Cu 324.75,1.62
Especial 1,Cu 324.75,0.029
Especial 2,Cu 324.75,0.03
Especial 3,Cu 324.75,0.269
Especial 4,Cu 324.75,1.856
Especial 5,Cu 324.75,0.059
Especial 6,Cu 324.75,0.012
Columna #1,Cu 324.75,1.946
Columna #2,Cu 324.75,1.81
Columna #3,Cu 324.75,1.581
Columna #4,Cu 324.75,1.346
Columna #5,Cu 324.75,1.111
