"Analyst",""
"Date Started","1/25/2025 2:38 AM  GMT: 1/25/2025 9:38 AM"
"Worksheet","LC003585-RCK_24"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"1/25/2025","3:04:40 AM","PATRON",0.9163,"","mg/L"
"1/25/2025","3:04:56 AM","BLANCO",0.0110,"","mg/L"
"1/25/2025","3:05:06 AM","REAGENT BLANK",0.0000,"","mg/L"
"1/25/2025","3:05:32 AM","LC003585--001",0.4976,"","mg/L"
"1/25/2025","3:05:44 AM","LC003585--002","OVER","R","mg/L"
"1/25/2025","3:05:54 AM","LC003585--003","OVER","R","mg/L"
"1/25/2025","3:06:10 AM","LC003585--004",0.0017,"","mg/L"
"1/25/2025","3:06:26 AM","LC003585--005",0.0043,"","mg/L"
"1/25/2025","3:06:42 AM","LC003585--006",0.9251,"","mg/L"
"1/25/2025","3:07:04 AM","PATRON",0.8998,"","mg/L"
"1/25/2025","3:07:18 AM","LC003585--007",0.1194,"","mg/L"
"1/25/2025","3:07:38 AM","PATRON",0.9009,"","mg/L"
"1/25/2025","3:07:38 AM","BLANCO","","","mg/L"

"Method: Au AU ALTO (Flame)"


"1/25/2025","3:10:26 AM","LC003585--002",2.6233,"","mg/L"
"1/25/2025","3:10:42 AM","LC003585--003",2.7518,"","mg/L"
"1/25/2025","3:10:42 AM","LC003585--004","","","mg/L"
