Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.196
Comp. Cola Columna,Cu 324.75,1.129
Barren,Cu 324.75,1.101
Cabeza puntual retorno,Cu 324.75,1.286
Columna #1,Cu 324.75,1.233
Columna #2,Cu 324.75,1.188
Columna #3,Cu 324.75,1.194
Columna #4,Cu 324.75,1.171
Columna #5,Cu 324.75,1.124
Celda # 11-A,Cu 324.75,0.072
Celda # 11-B,Cu 324.75,0.079
Celda # 11-C,Cu 324.75,0.869
Celda #5-9,Cu 324.75,0.087
Celda #(F1+F2),Cu 324.75,1.114
NE Tubo 1,Cu 324.75,0.066
NE Tubo 2,Cu 324.75,0.103
NE Tubo 4,Cu 324.75,0.098
NE Tubo 5,Cu 324.75,0.071
NE Tubo 6,Cu 324.75,0.079
NE Tubo 7,Cu 324.75,0.209
Puntual Noroeste,Cu 324.75,0.135
Barren Patios,Cu 324.75,0.939
Tubo 3,Cu 324.75,0.22
Especial 1,Cu 324.75,0.156
Especial 2,Cu 324.75,0.155
Especial 3,Cu 324.75,0.206
Especial 4,Cu 324.75,0.166
Especial 5,Cu 324.75,0.165
