Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.277
Comp. Cola Columna,Cu 324.75,0.776
Barren,Cu 324.75,0.628
Cabeza puntual retorno,Cu 324.75,1.221
Columna #1,Cu 324.75,1.081
Columna #2,Cu 324.75,0.999
Columna #3,Cu 324.75,0.902
Columna #4,Cu 324.75,0.766
Columna #5,Cu 324.75,0.686
Celda # 11-A,Cu 324.75,0.066
Celda # 11-B,Cu 324.75,1.176
Celda # 11-C,Cu 324.75,0.071
Celda #5-9,Cu 324.75,0.015
Celda #(F1+F2),Cu 324.75,1.212
NE Tubo 1,Cu 324.75,4.932
NE Tubo 2,Cu 324.75,0.441
NE Tubo 4,Cu 324.75,0.056
NE Tubo 5,Cu 324.75,0.044
NE Tubo 6,Cu 324.75,0.046
NE Tubo 7,Cu 324.75,0.045
Puntual Noroeste,Cu 324.75,0.256
Barren Patios,Cu 324.75,0.704
Tubo 3,Cu 324.75,0.083
Especial 1,Cu 324.75,0.12
Especial 2,Cu 324.75,0.083
Especial 3,Cu 324.75,0.181
Especial 4,Cu 324.75,0.172
Especial 5,Cu 324.75,0.145
