Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.15
Comp. Cola Columna,Au 242.80,0.009
Barren,Au 242.80,0.017
Cabeza puntual retorno,Au 242.80,0.147
Celda # 11-A,Au 242.80,0.054
Celda # 11-B,Au 242.80,0.083
Celda # 11-C,Au 242.80,0.079
Celda # 6-F2,Au 242.80,0.074
Celda #5-9,Au 242.80,0.079
Celda #(F1+F2),Au 242.80,0.155
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.136
NE Tubo 4,Au 242.80,0.135
NE Tubo 5,Au 242.80,0.15
NE Tubo 6,Au 242.80,0.154
NE Tubo 7,Au 242.80,0.309
Puntual Noroeste,Au 242.80,0.162
Barren Patios,Au 242.80,0.013
Tubo 3,Au 242.80,0.146
Especial 1,Au 242.80,0.084
Especial 2,Au 242.80,0.088
Especial 3,Au 242.80,0.002
Especial 4,Au 242.80,0.009
Especial 5,Au 242.80,0.052
Especial 6,Au 242.80,0.002
